index,price
0,18414612.095689155
1,12571137.30371395
2,22856350.997129157
3,17969594.335152928
4,13746786.263589285
5,9168664.337775651
6,12674062.166561784
7,15433607.26954886
8,18948340.588960376
9,18013296.17149699
10,20306641.074777808
11,10610079.140925538
12,32525757.67305499
13,12087778.993718853
14,28616602.19393895
15,7237623.742282948
16,20517071.57238827
17,12655734.353701195
18,12363465.919115344
19,38796955.09234509
20,20573077.946767528
21,14075100.889887309
22,13264619.392425697
23,9136195.259684004
24,18996036.883205257
25,14326755.307052275
26,10429101.059825068
27,14956032.943306878
28,24587041.625924382
29,16079586.78915383
30,15148699.72187952
31,16234502.100111589
32,22578074.95434634
33,11551971.694283508
34,16921364.14450335
35,14391774.172806412
36,11618434.255713398
37,19279878.786475744
38,7914961.928892876
39,19877996.085678194
40,21770424.420561783
41,10764843.519932035
42,17858790.702538684
43,9982791.194376795
44,14554313.271448016
45,11157105.556993436
46,28675995.881099712
47,17593504.796179872
48,13145432.552426543
49,15152414.067660833
50,23933710.607316446
51,10562545.287819019
52,9254754.84994183
53,11189846.990242228
54,22039572.198121376
55,13996020.78677268
56,12209519.295041425
57,17427033.814559624
58,19036322.030053247
59,11269426.364979478
60,22209823.986614376
61,9591366.597561855
62,20365596.121099666
63,13855623.003888637
64,22933038.953365065
65,16178254.000787329
66,14612954.402281562
67,17139123.01919536
68,22043947.48415084
69,23817691.88935153
70,16519457.245693475
71,25268196.719451793
72,23690709.726034492
73,15545122.56990264
74,11573352.863954738
75,36473896.62272314
76,26069256.74512779
77,12515136.043780413
78,13090513.326504191
79,16739010.082417471
80,10775715.612172138
81,24445224.94971813
82,10522832.683985192
83,34711536.54359189
84,17408060.115373228
85,12169916.774129849
86,12852611.35750142
87,13762031.318710152
88,14930265.903020436
89,21584610.579038493
90,7086958.716407353
91,16445237.38022024
92,17521716.959483873
93,9860406.149870705
94,29444750.70917451
95,15691722.789762925
96,11458357.303918773
97,9833421.073745096
98,11594659.598846871
99,12175882.2954601
100,18707396.600387614
101,18947561.24094176
102,16271116.248916078
103,12260103.341798913
104,19465854.950445328
105,9703438.587064233
106,8912133.319510957
107,26831850.149121717
108,10317930.067122968
109,14720140.464537928
110,6748860.435810914
111,20138872.4706534
112,12520700.675318915
113,12593546.771861397
114,18612226.996405803
115,18302653.779369198
116,24593322.18538357
117,24540466.079924084
118,23062371.34465123
119,21319457.826024838
120,14968800.957278792
121,27342740.389616616
122,17850808.724631354
123,11960033.80827647
124,13832265.772019519
125,16629184.465829052
126,14305751.01695375
127,12482006.300952177
128,11741382.997632086
129,18120930.666767735
130,18827142.389800183
131,15041647.242128642
132,15340757.212844146
133,7475915.807932269
134,21280420.056547552
135,7760671.479244121
136,9171118.464471867
137,9967675.79609488
138,25842426.781973336
139,14979556.642296879
140,12596297.53098753
141,11699578.316575052
142,20747806.733173426
143,12697261.744956452
144,21277374.25413234
145,12588109.170251392
146,17679530.889607858
147,21005027.830664817
148,19064906.75367562
149,19078905.860373326
150,17589264.99472073
151,10900300.735697187
152,16140733.180716097
153,11699737.099866204
154,22267349.74086308
155,15802142.678474864
156,13007849.699016878
157,27070542.31310984
158,27259962.34280619
159,18318107.207468882
160,16703160.181319732
161,10548480.064631805
162,14002084.020922393
163,14534269.097073924
164,12692754.650180973
165,9488811.51272144
166,15229953.206590986
167,11501344.685387589
168,10700807.783300884
169,15662791.424804816
170,14284654.938357793
171,18357059.98643384
172,27288035.205206722
173,20681588.187131118
174,17165399.46521277
175,18284697.996267
176,17959117.049566895
177,20759217.698833838
178,13216504.74003674
179,23394228.546551246
180,21153995.99979538
181,14762893.476649644
182,16746376.924749803
183,15800096.716418723
184,11111576.677519262
185,17967953.57240447
186,10067759.882076375
187,8118886.547952109
188,8312296.085234512
189,13766708.77522457
190,10068244.937491732
191,14834527.488153152
192,19928976.869783442
193,23777107.337150823
194,18800209.41452693
195,14831137.141133647
196,13989474.457229223
197,12825694.358430564
198,11553951.775386577
199,13669683.443573851
200,9794761.218933914
201,12674333.54581803
202,22080498.564862344
203,11250328.8952676
204,34208228.07773869
205,19544095.03563493
206,6320285.899285064
207,23309830.70351274
208,15915439.017310692
209,18295211.1211926
210,16842274.406754125
211,11780117.240143642
212,13724290.705526855
213,14557208.577443415
214,12857302.107321054
215,12665410.89355189
216,10156183.25635377
217,13848954.360268261
218,9859482.033683255
219,16432838.767293666
220,16006369.982028259
221,13239010.236604154
222,27691424.140965953
223,12185309.633950252
224,22519433.57472142
225,21120271.48396947
226,27797725.346986946
227,15670598.854821518
228,18719078.764405787
229,13566650.700457372
230,7675802.850900446
231,14389961.526133394
232,22932397.528953124
233,12575143.73758989
234,16235505.301585052
235,28402554.84261995
236,14729770.117032155
237,12664349.032542353
238,14811539.721297264
239,10546796.621252364
240,28919316.01136768
241,12761421.94896982
242,24213883.00814135
243,30148246.241177835
244,17435512.543603834
245,22032173.4449631
246,22224364.700444162
247,15876561.551537238
248,14483543.804527463
249,13126823.282729188
250,15075676.480967678
251,17709605.46418819
252,21842922.76894318
253,16263604.885901712
254,7696137.722473326
255,31377408.538691055
256,16639452.3331071
257,13489841.643463071
258,16189385.78154852
259,16044222.008164894
260,9273281.920096613
261,9070613.254154446
262,9460159.711683527
263,26321900.298131187
264,19325630.57683884
265,16411320.357095763
266,13137975.067081474
267,18971618.453443706
268,17783001.029057037
269,15068195.35645892
270,21659452.503097232
271,30953011.854089115
272,17340660.08277569
273,22700686.43604017
274,26347351.953921825
275,13394479.113018364
276,18933777.165440485
277,32406691.67276032
278,17111070.068165906
279,12155924.14807314
280,14558334.140442224
281,13367856.20850265
282,11223330.666611847
283,12799705.389309265
284,13259943.651849337
285,19460555.193542562
286,9900053.53324457
287,26299977.636431824
288,8756966.833338529
289,22291865.47606837
290,34126336.10149422
291,15718361.76011468
292,26416604.470020074
293,21424717.9029121
294,7108613.524692002
295,15230555.13038839
296,15857173.928003782
297,23111626.501846526
298,39902000.598904125
299,16763498.231419202
300,13616013.906742243
301,21103078.200812645
302,14187817.945769781
303,12530958.843327846
304,18593450.056939494
305,17324464.21238993
306,18628447.29640486
307,10956929.112258755
308,13551081.42489615
309,20826427.08420249
310,11653952.320835475
311,11185616.632312922
312,16936800.521738723
313,13058692.150448002
314,16293805.59791121
315,9845674.898052251
316,14559850.535048475
317,25733888.18010326
318,17738576.485053685
319,20311118.314081144
320,15652398.735539583
321,15413308.770240128
322,35087365.06002252
323,21065876.115465198
324,14085692.930791888
325,10747231.285032049
326,8421186.741658153
327,18753227.508811854
328,9661807.349269113
329,10826916.008311424
330,18773134.241285022
331,14626305.263237916
332,13136628.713882234
333,9836550.748361632
334,14304106.580573963
335,11015817.14263715
336,18473208.652090073
337,11953780.390703475
338,16691092.945129132
339,12381946.703994898
340,19210390.442620423
341,10498937.251881413
342,15409418.140831353
343,11236668.5727923
344,13213476.245547146
345,22690045.878717456
346,11680533.780088263
347,14459594.29014448
348,13806840.358991778
349,21680313.40986951
350,19556745.943325646
351,11387195.794541175
352,13600457.591433516
353,10210513.146566965
354,9496566.453717643
355,19592383.773462024
356,13768427.472172216
357,11048827.163201198
358,14371898.505013295
359,17872119.81950837
360,10746748.69498942
361,8522212.595428225
362,13537865.237157663
363,17062695.253625244
364,13434573.041546445
365,12733388.513072558
366,21470056.085246038
367,17599165.51370138
368,12451538.325623874
369,17923348.404163264
370,13054106.23670078
371,28334237.354139462
372,16263353.589017538
373,10158921.211960446
374,15851136.417780887
375,29963060.80879759
376,17734950.748310048
377,14111242.186593227
378,9271430.208508657
379,14337135.02908252
380,10029379.774746776
381,12655823.083626252
382,18993495.927091304
383,32742690.138569973
384,13997687.916949917
385,15285574.224212483
386,15091977.760349257
387,12093878.321158407
388,18836047.02513574
389,14386656.703357607
390,16116215.319778217
391,14012480.128016064
392,11694473.324364848
393,14324088.02536812
394,10732642.488869268
395,14698875.877425404
396,14283575.48624073
397,12080384.217465898
398,15103895.60471332
399,8112830.545310502
400,11176808.624930732
401,12190444.408093298
402,12801148.609781466
403,13447131.985280065
404,37260032.603789315
405,13689331.111157319
406,15924907.830394397
407,14080199.588359922
408,15045625.434264584
409,22834205.499687873
410,20508255.308091346
411,9644190.93446832
412,15606206.512304423
413,17573292.38715244
414,16339883.02848809
415,19990414.847752534
416,6745169.607360677
417,13163485.878940556
418,22175416.134680156
419,13594086.275452878
420,18882704.774860922
421,15444000.259673879
422,14935926.802416598
423,13622109.762128254
424,15143053.529754788
425,13362236.305108432
426,15970935.2415919
427,15067977.550504018
428,19737961.96857611
429,21231430.461456288
430,7598245.464525759
431,10775444.107300824
